name,prices,cuisine,others,num_rec,avg_rec,location
Aqua e Vino,6,"Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe","Lunch, Obiad, Napoje",1 350 recenzji,"4,5 ",Stare Miasto
Pizza loft,1,"Włoska, Europejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",186 recenzji,"4,5 ","1,1 km od następującego obiektu: Kazimierz"
Galicja Po Kolei,6,"Miejsce przyjazne dla wegetarian, Opcje dla wegan","Lunch, Obiad, Brunch, Napoje",313 recenzji,"4,5 ","0,8 km od następującego obiektu: Kazimierz"
FAB Fusion,6,"Polska, Europejska, Środkowoeuropejska, Międzynarodowa, Fusion","Opcje dla wegan, Posiłki bezglutenowe, Miejsce przyjazne dla wegetarian",772 recenzje,"4,5 ",Kazimierz
Baroque,6,Polska,"Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",471 recenzji,"4,5 ",Stare Miasto
Szara  Kazimierz,6,"Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe","Lunch, Obiad, Brunch, Po godzinach",877 recenzji,"4,5 ",Kazimierz
Czarna Kaczka,6,"Polska, Europejska, Wschodnioeuropejska, Środkowoeuropejska","Miejsce przyjazne dla wegetarian, Posiłki bezglutenowe",3 554 recenzje,"4,5 ",Stare Miasto
Albertina Restaurant & Wine,4,"Śródziemnomorska, Polska, Międzynarodowa, Europejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",697 recenzji,"4,5 ",Stare Miasto
Youmiko Sushi,6,"Japońska, Sushi, Azjatycka, Winiarnia, Japońska kuchnia fusion","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",780 recenzji,"4,5 ",Kazimierz
Introligatornia Smaku,6,"Polska, Międzynarodowa, Europejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",2 366 recenzji,"4,5 ",Kazimierz
Trezo Restauracja,6,"Polska, Wschodnioeuropejska, Środkowoeuropejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",2 752 recenzje,"4,5 ",Kazimierz
Tao Thai & Sushi,6,"Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe","Lunch, Obiad, Brunch",216 recenzji,"4,0 ",Stare Podórze
Od Jajka Do Jabłka,6,"Międzynarodowa, Fusion, Zdrowa, Polska","Miejsce przyjazne dla wegetarian, Posiłki bezglutenowe",352 recenzje,"4,5 ",Wesoła Zachód
Restauracja Padre,6,"Polska, Śródziemnomorska, Europejska, Środkowoeuropejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",1 156 recenzji,"4,5 ",Stare Miasto
Cyrano de Bergerac,4,"Francuska, Europejska, Środkowoeuropejska","Miejsce przyjazne dla wegetarian, Posiłki bezglutenowe",1 585 recenzji,"4,5 ",Stare Miasto
NAKRYTO kuchnia polska,6,"Polska, Europejska, Wschodnioeuropejska, Środkowoeuropejska","Miejsce przyjazne dla wegetarian, Opcje dla wegan, Posiłki bezglutenowe",372 recenzje,"4,5 ",Kazimierz
